food_name,energy_kcal ,fat_g,saturates_g,carbohydrate_g,sugars_g,starch_g,fibre_g,protein_g,salt_g
"Beef, fillet steak, grilled, lean and fat",200,9.5,4.40,0.0,0.0,0.0,0.0,28.7,0.17
"Beef, fillet steak, raw, lean",140,6.1,2.80,0.0,0.0,0.0,0.0,21.2,0.11
"Beef, fillet steak, raw, lean and fat",155,7.9,3.80,0.0,0.0,0.0,0.0,20.9,0.11
"Beef, flank, pot-roasted, lean",253,14.0,5.70,0.0,0.0,0.0,0.0,31.8,0.13
"Beef, flank, pot-roasted, lean and fat",309,22.3,9.10,0.0,0.0,0.0,0.0,27.1,0.11
"Beef, flank, raw, lean",174,9.3,3.80,0.0,0.0,0.0,0.0,22.7,0.16
"Beef, flank, raw, lean and fat",266,20.8,8.70,0.0,0.0,0.0,0.0,19.7,0.14
"Beef, fore-rib/rib-roast, microwaved, lean",243,11.4,5.00,0.0,0.0,0.0,0.0,35.0,0.15
"Beef, fore-rib/rib-roast, microwaved, lean and fat",306,20.5,9.20,0.0,0.0,0.0,0.0,30.4,0.14
"Beef, fore-rib/rib-roast, microwaved, lean and fat, weighed with bone",254,17.0,7.70,0.0,0.0,0.0,0.0,25.2,0.11
"Beef, fore-rib/rib-roast, raw, lean",145,6.5,2.90,0.0,0.0,0.0,0.0,21.5,0.15
"Beef, fore-rib/rib-roast, raw, lean and fat",253,19.8,8.90,0.0,0.0,0.0,0.0,18.8,0.13
"Beef, fore-rib/rib-roast, roasted, lean",236,11.4,5.10,0.0,0.0,0.0,0.0,33.3,0.14
"Beef, fore-rib/rib-roast, roasted, lean and fat",300,20.4,9.20,0.0,0.0,0.0,0.0,29.0,0.14
"Beef, fore-rib/rib-roast, roasted, lean and fat, weighed with bone",251,17.1,7.70,0.0,0.0,0.0,0.0,24.4,0.11
"Beef, lean, average, raw",129,4.3,1.74,0.0,0.0,0.0,0.0,22.5,0.16
"Beef, lean, average, raw, extra trimmed",132,5.1,2.00,0.0,0.0,0.0,0.0,21.6,0.16
"Beef, mince patties, barbecued",264,16.2,7.10,0.0,0.0,0.0,0.0,29.6,0.25
"Beef, mince, extra lean, stewed",137,4.2,1.83,0.0,0.0,0.0,0.0,24.7,0.19
"Beef, mince, frozen, stewed",204,14.1,6.20,0.0,0.0,0.0,0.0,19.3,0.16
"Beef, mince, microwaved",263,17.5,7.60,0.0,0.0,0.0,0.0,26.4,0.23
"Beef, mince, raw",225,16.2,6.94,0.0,0.0,0.0,0.0,19.7,0.20
"Beef, mince, raw, extra lean",125,4.2,2.08,0.0,0.0,0.0,0.0,21.9,0.23
