food_code,units,rse_indicator,years,amount
Puddings,g,High,2001,10.0
Rice,g,Medium,2001,80.0
Dried rice,g,High,2001,53.0
Cooked rice,g,Medium,2001,5.0
Takeaway rice,g,Medium,2001,22.0
"Invalid foods, slimming foods and sports foods",g,Very High,2001,2.0
Infant cereal foods,g,Very High,2001,1.0
Cakes and pastries - frozen,g,High,2001,14.0
Pasta,g,Low,2001,89.0
Canned pasta,g,High,2001,30.0
Dried and fresh pasta,g,Medium,2001,59.0
Takeaway pasta and noodles,g,Very High,2001,1.0
Pizza,g,Low,2001,70.0
"Pizzas, frozen and not frozen",g,Medium,2001,50.0
Takeaway pizza,g,High,2001,20.0
Other cereal convenience foods,g,Low,2001,70.0
"Cake, pudding and dessert mixes",g,High,2001,9.0
Cereal snacks,g,Medium,2001,21.0
"Quiches and flans, frozen and not frozen",g,High,2001,11.0
"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",g,Very High,2001,1.0
"Other cereal foods, frozen and not frozen",g,Low,2001,29.0
Other cereals,g,Very High,2001,5.0
Beverages,g,Low,2001,60.0
Tea,g,Medium,2001,34.0
Coffee beans and ground coffee,g,Medium,2001,3.0
Instant coffee,g,Medium,2001,13.0
Coffee essences,ml,Very High,2001,0.0
Tea and coffee from takeaway,ml,Very High,2001,
Cocoa and chocolate drinks,g,High,2001,5.0
Malt drinks and chocolate versions of malted drinks,g,Very High,2001,4.0
Other food and drink,g,Medium,2001,649.0
Mineral or spring waters,ml,High,2001,197.0
Baby foods,g,Very High,2001,8.0
Soups - canned or cartons,g,Medium,2001,79.0
Soups - dehydrated or powdered,g,Very High,2001,4.0
Soups - from takeaway,g,Very High,2001,0.0
Other takeaway food brought home,g,Very High,2001,0.0
Meals on wheels - items not specified,g,Very High,2001,0.0
Spreads and dressings,g,Low,2001,32.0
Salad dressings,g,Low,2001,29.0
Other spreads and dresssings,g,High,2001,3.0
Pickles and sauces,g,Low,2001,121.0
Pickles,g,High,2001,19.0
Sauces,g,Low,2001,102.0
Takeaway sauces and mayonnnaise,g,High,2001,1.0
Stock cubes and meat and yeast extracts,g,High,2001,4.0
Jelly squares or crystals,g,High,2001,4.0
Ice cream tub or block,ml,Medium,2001,113.0
Ice cream products including takeaways,ml,Medium,2001,70.0
"Ice cream cornets, choc-ices, lollies with ice cream",ml,Medium,2001,43.0
"Ice lollies, sorbet, frozen mousse, frozen yoghurt",ml,High,2001,25.0
"Takeaway ice cream, ice cream products, milkshakes",ml,Very High,2001,2.0
Salt,g,High,2001,12.0
Soya and novel protein foods,g,High,2001,5.0
Soft drinks,ml,Low,2001,1745.0
"Soft drinks, concentrated, not low calorie [note 10]",ml,High,2001,608.0
"Soft drinks, not concentrated,  not low calorie",ml,Medium,2001,658.0
"Soft drinks, concentrated, low calorie [note 10]",ml,Medium,2001,144.0
"Soft drinks, not concentrated, low calorie",ml,Medium,2001,335.0
Confectionery,g,Low,2001,128.0
Chocolate bars - solid,g,Low,2001,27.0
Chocolate bars - filled,g,Low,2001,57.0
Chewing gum,g,High,2001,2.0
Mints and boiled sweets,g,Low,2001,37.0
Mints,g,High,2001,4.0
Boiled sweets,g,Low,2001,33.0
"Fudges, toffees, caramels",g,High,2001,4.0
Takeaway confectionery,g,Very High,2001,0.0
Alcoholic drinks,ml,Medium,2001,735.0
Beers,ml,High,2001,108.0
Lagers and continental beers,ml,Medium,2001,278.0
Ciders and perry,ml,High,2001,55.0
Wine and champagne,ml,Medium,2001,222.0
"Champagne, sparkling wines and wine with mixer",ml,High,2001,10.0
Table wine,ml,Medium,2001,212.0
Spirits with mixer,ml,Very High,2001,0.0
Fortified wines,ml,Very High,2001,15.0
Spirits,ml,Medium,2001,35.0
Liqueurs and cocktails,ml,High,2001,4.0
Alcopops,ml,Very High,2001,18.0
,,,2001,
Milk and milk products excluding cheese,ml,Very Low,2002,2006.0
"Liquid wholemilk, including school and welfare",ml,Medium,2002,572.0
"Liquid wholemilk, full price",ml,Medium,2002,555.0
UHT milk,ml,Very High,2002,5.0
Sterilised,ml,,2002,21.0
Pasteurised/ homogenised,ml,Medium,2002,529.0
School milk ,ml,,2002,
Welfare milk,ml,,2002,16.0
Other milk and cream,ml,Low,2002,1435.0
Skimmed milks,ml,Low,2002,1085.0
Fully skimmed milk,ml,Medium,2002,166.0
Semi-skimmed milk,ml,Low,2002,919.0
Condensed or evaporated milk,eq ml,High,2002,21.0
Infant milks,eq ml,Very High,2002,39.0
Infant or baby milks - ready to drink,eq ml,Very High,2002,2.0
Infant or baby milks - dried,eq ml,Very High,2002,37.0
Instant dried milk,eq ml,Very High,2002,14.0
Yoghurt and fromage frais,ml,Low,2002,163.0
Yoghurt,ml,Low,2002,144.0
Fromage frais,ml,High,2002,19.0
Other milks and dairy desserts,ml,Medium,2002,94.0
Dairy desserts - not frozen,ml,Medium,2002,45.0
Dried milk products,ml,Very High,2002,10.0
Milk drinks and other milks ,ml,High,2002,38.0
Non-dairy milk substitutes ,ml,Medium,2002,
Cream,ml,Medium,2002,20.0
Cheese,g,Low,2002,112.0
Natural cheese,g,Low,2002,99.0
Hard cheese - cheddar type,g,Low,2002,62.0
Hard cheese - other uk or foreign equivalent,g,High,2002,14.0
Hard cheese - edam or other foreign,g,Medium,2002,8.0
Cottage cheese,g,High,2002,6.0
Soft natural cheese,g,Medium,2002,10.0
Processed cheese,g,Medium,2002,12.0
Carcase meat,g,Low,2002,230.0
Beef and veal,g,Low,2002,118.0
Beef joints - on the bone,g,Very High,2002,2.0
Beef joints - boned,g,High,2002,29.0
Beef steak - less expensive,g,Medium,2002,16.0
Beef steak - more expensive,g,High,2002,24.0
Minced beef,g,Medium,2002,48.0
All other beef and veal,g,Very High,2002,1.0
Mutton and lamb,g,High,2002,51.0
Mutton,g,Very High,2002,1.0
Lamb joints,g,Very High,2002,29.0
Lamb chops,g,High,2002,14.0
All other lamb,g,Very High,2002,7.0
Pork,g,Medium,2002,61.0
Pork joints,g,High,2002,21.0
Pork chops,g,High,2002,20.0
Pork fillets and steaks,g,High,2002,16.0
All other pork,g,High,2002,3.0
Non-carcase meat and meat products,g,Very Low,2002,820.0
Liver,g,Very High,2002,4.0
Ox liver,g,Very High,2002,0.0
Lambs liver,g,Very High,2002,2.0
Pigs liver,g,Very High,2002,1.0
All other liver,g,Very High,2002,0.0
All offal other than liver,g,Very High,2002,2.0
"Bacon and ham, uncooked",g,Medium,2002,69.0
"Bacon and ham joints, uncooked",g,High,2002,20.0
"Bacon and ham rashers, uncooked",g,Low,2002,49.0
"Bacon and ham, cooked",g,Low,2002,45.0
Cooked poultry not purchased in cans,g,Medium,2002,45.0
"Chicken and turkey, cooked",g,Medium,2002,39.0
Takeaway chicken,g,High,2002,6.0
"Corned beef, canned or sliced",g,Medium,2002,12.0
Other cooked meat,g,Medium,2002,11.0
Other canned meat and canned meat products,g,High,2002,36.0
"Chicken, uncooked - whole chicken or chicken pieces",g,Low,2002,165.0
"Other poultry, uncooked (including frozen)",g,High,2002,34.0
"Turkey, uncooked - whole turkey or turkey pieces",g,High,2002,30.0
"Poultry other than chicken or turkey, uncooked",g,Very High,2002,4.0
"Other fresh, chilled and frozen meat",g,Very High,2002,1.0
"Sausages, uncooked - pork",g,Low,2002,57.0
"Sausages, uncooked - beef and other sausages",g,High,2002,9.0
"Meat pies and sausage rolls, ready to eat",g,Medium,2002,50.0
"Meat pies, ready to eat",g,Medium,2002,40.0
"Sausage rolls, ready to eat",g,Medium,2002,10.0
"Meat pies, pasties and puddings, frozen or not frozen",g,Medium,2002,30.0
"Burgers, frozen or not frozen",g,Medium,2002,21.0
Ready meals and convenience meat products,g,Low,2002,157.0
"Complete meat-based ready meals, frozen or not frozen",g,Medium,2002,97.0
"Other convenience meat products, frozen or not frozen",g,Medium,2002,61.0
Pate and delicatessen type sausage,g,Medium,2002,12.0
Pate,g,High,2002,4.0
Delicatessen type sausages,g,Medium,2002,8.0
Meat pastes and spreads,g,Very High,2002,2.0
Takeaway meats,g,Medium,2002,59.0
Takeaway meat pies and pasties,g,Very High,2002,4.0
Takeaway burger and bun,g,High,2002,6.0
Takeaway kebabs,g,High,2002,9.0
Takeaway sausages and saveloys,g,High,2002,3.0
Takeaway meat based meals,g,Medium,2002,38.0
Takeaway miscellaneous meats,g,Very High,2002,0.0
Fish,g,Low,2002,155.0
"White fish, fresh, chilled or frozen",g,High,2002,33.0
"White fish, fresh or chilled",g,High,2002,17.0
"White fish, frozen",g,Very High,2002,16.0
"Herrings and other blue fish, fresh, chilled or frozen",g,High,2002,6.0
"Herrings and other blue fish, fresh or chilled",g,Very High,2002,6.0
"Herrings and other blue fish, frozen",g,Very High,2002,1.0
"Salmon, fresh, chilled or frozen",g,Medium,2002,9.0
"Salmon, fresh or chilled",g,Medium,2002,8.0
"Salmon, frozen",g,Very High,2002,1.0
"Blue fish, dried or salted or smoked",g,High,2002,5.0
"White fish, dried, salted or smoked",g,Very High,2002,4.0
Shellfish,g,High,2002,11.0
"Shellfish, fresh or chilled",g,High,2002,4.0
"Shellfish, frozen",g,High,2002,7.0
Takeaway fish,g,High,2002,11.0
"Salmon, tinned",g,Very High,2002,6.0
Other tinned or bottled fish,g,Medium,2002,29.0
Ready meals and other fish products - frozen or not frozen,g,Medium,2002,38.0
Takeaway fish meals and fish products,g,High,2002,3.0
Takeaway fish products,g,Very High,2002,1.0
Takeaway fish based meals,g,Very High,2002,2.0
Eggs,no.,Low,2002,2.0
Fats,g,Low,2002,190.0
Butter,g,Medium,2002,37.0
Margarine,g,Medium,2002,13.0
Soft margarine,g,Medium,2002,12.0
Other margarine,g,Very High,2002,1.0
"Lard, cooking fat",g,Very High,2002,5.0
Vegetable and salad oils,ml,High,2002,56.0
Olive oil,ml,High,2002,10.0
Other vegetable and salad oils,ml,High,2002,46.0
All other fats,g,Medium,2002,78.0
Reduced fat spreads,g,Medium,2002,55.0
Low fat spreads,g,Very High,2002,15.0
Suet and dripping,g,Very High,2002,1.0
Imitatation cream,g,High,2002,7.0
Sugar and preserves,g,Medium,2002,146.0
Sugar,g,Medium,2002,111.0
Jams and fruit curds,g,Medium,2002,16.0
Marmalade,g,High,2002,11.0
"Syrup, treacle",g,High,2002,3.0
Honey,g,Medium,2002,4.0
"fruit and vegetables, including potatoes",g,Low,2002,3180.0
"vegetables, including potatoes",g,Very Low,2002,1973.0
fresh and processed potatoes,g,Low,2002,873.0
Fresh potatoes,g,Low,2002,617.0
Fresh new potatoes ,g,Medium,2002,281.0
Fresh baking potatoes ,g,Medium,2002,114.0
Other fresh potatoes,g,Medium,2002,222.0
processed potatoes,g,Low,2002,256.0
Chips and takeaway chips,g,Low,2002,145.0
Chips - frozen or not frozen,g,Low,2002,96.0
Takeaway chips,g,Medium,2002,48.0
Instant potato,g,Very High,2002,2.0
Canned potatoes,g,Very High,2002,5.0
Crisps and potato snacks,g,Low,2002,57.0
"Other potato products, frozen or not frozen",g,Medium,2002,47.0
Fresh green vegetables,g,Low,2002,231.0
Fresh cabbages,g,Medium,2002,45.0
Fresh brussels sprouts,g,High,2002,16.0
Fresh cauliflower,g,Medium,2002,76.0
Leafy salads fresh,g,Low,2002,61.0
Lettuce and leafy salads,g,Medium,2002,43.0
Prepared lettuce salads,g,Medium,2002,18.0
Fresh peas,g,High,2002,5.0
Fresh beans,g,Medium,2002,23.0
Other fresh green vegetables,g,Medium,2002,5.0
Other fresh vegetables,g,Low,2002,505.0
Fresh carrots,g,Low,2002,99.0
Fresh turnips and swede,g,High,2002,24.0
Other fresh root vegetables,g,Medium,2002,28.0
"Fresh onions, leeks and shallots",g,Low,2002,100.0
Fresh cucumbers,g,Low,2002,37.0
Fresh mushrooms,g,Low,2002,35.0
Fresh tomatoes,g,Low,2002,96.0
Miscellaneous fresh vegtables,g,Low,2002,86.0
"Fresh vegetable stewpack, stirfry pack etc.",g,High,2002,15.0
Fresh stem vegetables,g,Medium,2002,24.0
"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",g,Medium,2002,44.0
Fresh herbs,g,Medium,2002,4.0
"Tomatoes, canned or bottled",g,Medium,2002,47.0
"Peas, canned",g,Medium,2002,31.0
Beans canned,g,Medium,2002,111.0
Baked beans in sauce,g,Medium,2002,99.0
Other canned beans and pulses,g,Medium,2002,13.0
Other canned vegetables,g,Medium,2002,26.0
Dried pulses other than air-dried,g,Very High,2002,7.0
Air-dried vegetables,g,Very High,2002,0.0
Vegetable juices and purees,ml,High,2002,10.0
Tomato puree and vegetable purees,ml,Medium,2002,5.0
"Vegetable juices eg tomato juice, carrot juice",ml,Very High,2002,6.0
"Peas, frozen",g,Medium,2002,29.0
"Beans, frozen",g,Very High,2002,5.0
Ready meals and other vegetable products (inc takeaways),g,Low,2002,61.0
"Ready meals and other vegetable products, frozen or not frozen",g,Low,2002,52.0
All vegetable takeaway products,g,High,2002,9.0
Other frozen vegetables,g,Medium,2002,37.0
Fresh and processed fruit,g,Low,2002,1206.0
Fresh fruit,g,Low,2002,794.0
Fresh oranges,g,Medium,2002,62.0
Other fresh citrus fruits,g,Low,2002,92.0
Fresh apples,g,Low,2002,172.0
Fresh pears,g,Medium,2002,42.0
Fresh stone fruit,g,Medium,2002,72.0
Fresh grapes,g,Low,2002,50.0
Other fresh soft fruit,g,Low,2002,30.0
Fresh bananas,g,Low,2002,208.0
Fresh melons,g,High,2002,41.0
Other fresh fruit,g,Medium,2002,24.0
Processed fruit and fruit products,g,Low,2002,413.0
"Tinned peaches, pears and pineapples",g,High,2002,18.0
All other tinned or bottled fruit,g,High,2002,21.0
Dried fruit,g,High,2002,19.0
"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",g,High,2002,1.0
"Nuts, edible seeds and peanut butter",g,Medium,2002,21.0
Nuts and edible seeds,g,Medium,2002,18.0
Peanut butter,g,High,2002,3.0
Pure fruit juices [note 8],ml,Medium,2002,333.0
Bread,g,Very Low,2002,757.0
white bread,g,Low,2002,431.0
"White bread, standard, unsliced",g,High,2002,54.0
"White bread, standard, sliced",g,Low,2002,352.0
"White bread, premium, sliced and unsliced",g,High,2002,21.0
"White bread, soft grain, sliced and unsliced",g,High,2002,4.0
Brown and wholemeal bread,g,Low,2002,146.0
"Brown bread, sliced and unsliced",g,High,2002,46.0
"Wholemeal and granary bread, sliced and unsliced",g,Medium,2002,100.0
Total other bread,g,Low,2002,180.0
"Rolls - white, brown or wholemeal",g,Medium,2002,78.0
Malt bread and fruit loaves,g,High,2002,8.0
Vienna and french bread,g,Medium,2002,32.0
Starch reduced bread and rolls,g,High,2002,9.0
Other breads,g,Low,2002,40.0
Sandwiches,g,High,2002,8.0
Sandwiches from takeaway,g,High,2002,3.0
Takeaway breads,g,High,2002,2.0
Flour,g,High,2002,61.0
"Cakes, buns and pastries",g,Low,2002,164.0
"Buns, scones and teacakes",g,Low,2002,41.0
Cakes and pastries,g,Low,2002,122.0
"Cakes and pastries, not frozen",g,Low,2002,121.0
Takeaway pastries,g,High,2002,1.0
Biscuits and crispbreads,g,Low,2002,174.0
Crispbread,g,Medium,2002,6.0
Biscuits other than chocolate,g,Low,2002,98.0
Sweet biscuits (not chocolate) and cereal bars,g,Low,2002,86.0
Cream crackers and other unsweetened biscuits,g,Medium,2002,13.0
Chocolate biscuits,g,Low,2002,69.0
Other cereals and cereal products,g,Very Low,2002,515.0
Oatmeal and oat products,g,Medium,2002,13.0
Breakfast cereals,g,Low,2002,132.0
Muesli,g,Medium,2002,16.0
High fibre breakfast cereals,g,Medium,2002,54.0
Sweetened breakfast cereals,g,Medium,2002,36.0
Other breakfast cereals,g,Medium,2002,26.0
Canned milk puddings,g,Medium,2002,28.0
Canned or fresh carton custard,g,Medium,2002,13.0
All canned milk puddings,g,High,2002,16.0
Puddings,g,High,2002,9.0
Rice,g,Medium,2002,84.0
Dried rice,g,High,2002,59.0
Cooked rice,g,Medium,2002,4.0
Takeaway rice,g,Medium,2002,20.0
"Invalid foods, slimming foods and sports foods",g,Very High,2002,4.0
Infant cereal foods,g,Very High,2002,1.0
Cakes and pastries - frozen,g,High,2002,12.0
Pasta,g,Low,2002,88.0
Canned pasta,g,High,2002,29.0
Dried and fresh pasta,g,Medium,2002,58.0
Takeaway pasta and noodles,g,Very High,2002,1.0
Pizza,g,Low,2002,66.0
"Pizzas, frozen and not frozen",g,Medium,2002,47.0
Takeaway pizza,g,High,2002,18.0
Other cereal convenience foods,g,Low,2002,73.0
"Cake, pudding and dessert mixes",g,High,2002,10.0
Cereal snacks,g,Medium,2002,24.0
"Quiches and flans, frozen and not frozen",g,High,2002,12.0
"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",g,Very High,2002,1.0
"Other cereal foods, frozen and not frozen",g,Low,2002,27.0
Other cereals,g,Very High,2002,6.0
Beverages,g,Low,2002,58.0
Tea,g,Medium,2002,34.0
Coffee beans and ground coffee,g,Medium,2002,3.0
Instant coffee,g,Medium,2002,12.0
Coffee essences,ml,Very High,2002,0.0
Tea and coffee from takeaway,ml,Very High,2002,0.0
Cocoa and chocolate drinks,g,High,2002,4.0
Malt drinks and chocolate versions of malted drinks,g,Very High,2002,4.0
Other food and drink,g,Medium,2002,670.0
Mineral or spring waters,ml,High,2002,210.0
Baby foods,g,Very High,2002,8.0
Soups - canned or cartons,g,Medium,2002,80.0
Soups - dehydrated or powdered,g,Very High,2002,4.0
Soups - from takeaway,g,Very High,2002,0.0
Other takeaway food brought home,g,Very High,2002,0.0
Meals on wheels - items not specified,g,Very High,2002,1.0
Spreads and dressings,g,Low,2002,33.0
Salad dressings,g,Low,2002,29.0
Other spreads and dresssings,g,High,2002,4.0
Pickles and sauces,g,Low,2002,123.0
Pickles,g,High,2002,18.0
Sauces,g,Low,2002,105.0
Takeaway sauces and mayonnnaise,g,High,2002,1.0
Stock cubes and meat and yeast extracts,g,High,2002,5.0
Jelly squares or crystals,g,High,2002,4.0
Ice cream tub or block,ml,Medium,2002,115.0
Ice cream products including takeaways,ml,Medium,2002,71.0
"Ice cream cornets, choc-ices, lollies with ice cream",ml,Medium,2002,47.0
"Ice lollies, sorbet, frozen mousse, frozen yoghurt",ml,High,2002,22.0
"Takeaway ice cream, ice cream products, milkshakes",ml,Very High,2002,2.0
Salt,g,High,2002,11.0
Soya and novel protein foods,g,High,2002,5.0
Soft drinks,ml,Low,2002,1757.0
"Soft drinks, concentrated, not low calorie [note 10]",ml,High,2002,587.0
"Soft drinks, not concentrated,  not low calorie",ml,Medium,2002,678.0
"Soft drinks, concentrated, low calorie [note 10]",ml,Medium,2002,153.0
"Soft drinks, not concentrated, low calorie",ml,Medium,2002,339.0
Confectionery,g,Low,2002,127.0
Chocolate bars - solid,g,Low,2002,27.0
Chocolate bars - filled,g,Low,2002,56.0
Chewing gum,g,High,2002,2.0
Mints and boiled sweets,g,Low,2002,38.0
Mints,g,High,2002,5.0
Boiled sweets,g,Low,2002,33.0
"Fudges, toffees, caramels",g,High,2002,4.0
Takeaway confectionery,g,Very High,2002,0.0
Alcoholic drinks,ml,Medium,2002,726.0
Beers,ml,High,2002,112.0
Lagers and continental beers,ml,Medium,2002,268.0
Ciders and perry,ml,High,2002,50.0
Wine and champagne,ml,Medium,2002,220.0
"Champagne, sparkling wines and wine with mixer",ml,High,2002,9.0
Table wine,ml,Medium,2002,211.0
Spirits with mixer,ml,Very High,2002,0.0
Fortified wines,ml,Very High,2002,19.0
Spirits,ml,Medium,2002,33.0
Liqueurs and cocktails,ml,High,2002,5.0
Alcopops,ml,Very High,2002,18.0
,,,2002,
Milk and milk products excluding cheese,ml,Very Low,2003,2041.0
"Liquid wholemilk, including school and welfare",ml,Medium,2003,602.0
"Liquid wholemilk, full price",ml,Medium,2003,585.0
UHT milk,ml,Very High,2003,21.0
Sterilised,ml,,2003,5.0
Pasteurised/ homogenised,ml,Medium,2003,559.0
School milk ,ml,,2003,
Welfare milk,ml,,2003,17.0
Other milk and cream,ml,Low,2003,1439.0
Skimmed milks,ml,Low,2003,1081.0
Fully skimmed milk,ml,Medium,2003,154.0
Semi-skimmed milk,ml,Low,2003,926.0
Condensed or evaporated milk,eq ml,High,2003,18.0
Infant milks,eq ml,Very High,2003,38.0
Infant or baby milks - ready to drink,eq ml,Very High,2003,2.0
Infant or baby milks - dried,eq ml,Very High,2003,35.0
Instant dried milk,eq ml,Very High,2003,10.0
Yoghurt and fromage frais,ml,Low,2003,177.0
Yoghurt,ml,Low,2003,158.0
Fromage frais,ml,High,2003,19.0
Other milks and dairy desserts,ml,Medium,2003,97.0
Dairy desserts - not frozen,ml,Medium,2003,46.0
Dried milk products,ml,Very High,2003,10.0
Milk drinks and other milks ,ml,High,2003,41.0
Non-dairy milk substitutes ,ml,Medium,2003,
Cream,ml,Medium,2003,20.0
Cheese,g,Low,2003,113.0
Natural cheese,g,Low,2003,99.0
Hard cheese - cheddar type,g,Low,2003,64.0
Hard cheese - other uk or foreign equivalent,g,High,2003,11.0
Hard cheese - edam or other foreign,g,Medium,2003,7.0
Cottage cheese,g,High,2003,6.0
Soft natural cheese,g,Medium,2003,12.0
Processed cheese,g,Medium,2003,14.0
Carcase meat,g,Low,2003,225.0
Beef and veal,g,Low,2003,119.0
Beef joints - on the bone,g,Very High,2003,2.0
Beef joints - boned,g,High,2003,29.0
Beef steak - less expensive,g,Medium,2003,16.0
